,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1412,"RT @joelving: ""... for what is a global public health priority its mystifying why there are only 8 trials (of which only 4 assess harms) wi…",FALSE,0,NA,3/7/2018 15:20,FALSE,NA,9.71405E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PriyankaPulla,2,TRUE,FALSE,NA,NA
1413,RT @JanssenGlobal: Estimates for the 2017-'18 flu season show in the US that vaccination against #influenza was only 36% effective. Here Ju…,FALSE,0,NA,3/7/2018 15:17,FALSE,NA,9.71405E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wenrie24,12,TRUE,FALSE,NA,NA
1414,RT @CrazyRxMan: Influenza Antiviral Medications: Summary for Clinicians ~  https://t.co/HhLgjOBVID,FALSE,0,NA,3/7/2018 15:15,FALSE,NA,9.71404E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jjwills2,1,TRUE,FALSE,NA,NA
1415,"RT @Columbia: We can predict an approaching hurricane, but can we forecast the flu? @ColumbiaMSPH researches built a system for mapping the…",FALSE,0,NA,3/7/2018 15:14,FALSE,NA,9.71404E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",lauriegoering,13,TRUE,FALSE,NA,NA
1416,"La vacuna contra la #Influenza es segura y gratuita. Embarazadas y adultos mayores, es importante que acudan a la u… https://t.co/zN0KessTNw",FALSE,15,NA,3/7/2018 15:14,TRUE,NA,9.71404E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Salud_Hidalgo,14,FALSE,FALSE,NA,NA
1417,"RT @DeptSaludPR: AHORA-SINTONIZA-El Secretario de Salud, Dr.Rafael Rodríguez Mercado por @WKAQ580 con Rubén Sánchez,  vacunación contra la…",FALSE,0,NA,3/7/2018 15:13,FALSE,NA,9.71404E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",janicebfuentes,3,TRUE,FALSE,NA,NA
1418,RT @uofg: With over 25 confirmed cases and potentially 100's more unreported  canine influenza is becoming a serious issue for dog owners.…,FALSE,0,NA,3/7/2018 15:12,FALSE,NA,9.71403E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cvo_org,18,TRUE,FALSE,NA,NA
1419,"AHORA-El Secretario de Salud, Dr.Rafael Rodríguez Mercado por @WapaTV @NoticentroWAPA Vacunación contra la influenz… https://t.co/rZz0cxXRKk",FALSE,4,NA,3/7/2018 15:12,TRUE,NA,9.71403E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",DeptSaludPR,3,FALSE,FALSE,NA,NA
1420,"RT @NMNH: 100 years later, scientists and health experts are still learning from the 1918 influenza pandemic. Join us on 3/7 to hear from h…",FALSE,0,NA,3/7/2018 15:11,FALSE,NA,9.71403E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lippidoshi,14,TRUE,FALSE,NA,NA
1421,RT @censia_salud: Al vacunar a tu hija o hijo su organismo desarrolla la protección contra #Influenza. ¡Evita que se enferme! https://t.co/…,FALSE,0,NA,3/7/2018 15:10,FALSE,NA,9.71403E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PasiaMorelos,4,TRUE,FALSE,NA,NA
1422,Al vacunar a tu hija o hijo su organismo desarrolla la protección contra #Influenza. ¡Evita que se enferme! https://t.co/J4SgRvDaPH,FALSE,3,NA,3/7/2018 15:03,FALSE,NA,9.71401E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",censia_salud,4,FALSE,FALSE,NA,NA
1423,"RT @UniNoticias: <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> | Puerto Rico, en alerta por una posible epidemia de influenza en la isla. https://t.co/5BVw9dLWvG https://t.co/3mld8LbJ…",FALSE,0,NA,3/7/2018 15:02,FALSE,NA,9.71401E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mc_menordacds,12,TRUE,FALSE,NA,NA
1424,ZONE ZONE ZONE Defense! My reaction at home regarding the kids after the wife left the doctor and was told she has… https://t.co/HGpo2rU6xE,FALSE,0,NA,3/7/2018 15:01,TRUE,NA,9.714E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Stillsy5,0,FALSE,FALSE,NA,NA
1425,RT @claymohealth: We are continuing to see decreases week to week in the number of #flu cases reported! It is likely we will continue to se…,FALSE,0,NA,3/7/2018 15:00,FALSE,NA,9.714E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KCNorthlandInfo,1,TRUE,FALSE,NA,NA
1426,RT @uofg: With over 25 confirmed cases and potentially 100's more unreported  canine influenza is becoming a serious issue for dog owners.…,FALSE,0,NA,3/7/2018 14:59,FALSE,NA,9.714E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GregWorleyDVM,18,TRUE,FALSE,NA,NA
1427,We are continuing to see decreases week to week in the number of #flu cases reported! It is likely we will continue… https://t.co/rtdJTfkPDD,FALSE,1,NA,3/7/2018 14:57,TRUE,NA,9.71399E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",claymohealth,1,FALSE,FALSE,NA,NA
